Year,Game,Genre,Original platform,Publisher,HQ Location
1999,System Shock 2,Action role-playing,PC,Electronic Arts,United States
1999,Tony Hawk's Pro Skater,Sports,PlayStation,Activision,United States
1999,Unreal Tournament,First-person shooter,PC,GT Interactive,United States
2000,Baldur's Gate II: Shadows of Amn,Role-playing,PC,Black Isle Studios,United States
2000,Counter-Strike,First-person shooter,PC,Valve,United States
2000,Deus Ex,Action role-playing,PC,Eidos Interactive,United Kingdom
2000,Diablo II,Action role-playing,PC,Blizzard Entertainment,United States
2000,Jet Set Radio,Action,Dreamcast,Sega,Japan
2000,The Legend of Zelda: Majora's Mask,Action-adventure,Nintendo 64,Nintendo,Japan
2000,Perfect Dark,First-person shooter,Nintendo 64,Rare,United Kingdom
2000,Marvel vs. Capcom 2: New Age of Heroes,Fighting,Arcade,Capcom,Japan
2000,The Sims,Life simulation,PC,Electronic Arts,United States
2000,Thief II: The Metal Age,Stealth,PC,Eidos Interactive,United Kingdom
2000,Tony Hawk's Pro Skater 2,Sports,PlayStation,Activision,United States
2000,Vagrant Story,Action role-playing,PlayStation,Square,Japan
2001,Advance Wars,Turn-based strategy,Game Boy Advance,Nintendo,Japan
2001,Animal Crossing,Life simulation,Nintendo 64,Nintendo,Japan
2001,Devil May Cry,Action-adventure,PS2,Capcom,Japan
2001,Final Fantasy X,Role-playing,PS2,Square,Japan
2001,Gran Turismo 3: A-Spec,Racing,PS2,Sony Computer Entertainment,United States
2001,Grand Theft Auto III,Action-adventure,PS2,Rockstar Games,United States
2001,Halo: Combat Evolved,First-person shooter,Xbox,Microsoft Game Studios,United States
2001,Ico,Action-adventure,PS2,Sony Computer Entertainment,United States
2001,Ikaruga,Shoot 'em up,Arcade,Treasure,Japan
2001,Max Payne,Third-person shooter,PC,Gathering of Developers,United States
2001,Metal Gear Solid 2: Sons of Liberty,Stealth,PS2,Konami,Japan
2001,Phoenix Wright: Ace Attorney,Adventure,Game Boy Advance,Capcom,Japan
2001,Rez,Rail shooter,"Dreamcast,PS2",Sega,Japan
2001,Silent Hill 2,Survival horror,PS2,Konami,Japan
2001,Super Smash Bros. Melee,Fighting,GameCube,Nintendo,Japan
2001,Tony Hawk's Pro Skater 3,Sports,"PlayStation,PS2",Activision,United States
2002,Battlefield 1942,First-person shooter,PC,Electronic Arts,United States
2002,The Elder Scrolls III: Morrowind,Action role-playing,PC,Bethesda Softworks,United States
2002,Eternal Darkness: Sanity's Requiem,Survival horror,GameCube,Nintendo,Japan
2002,Grand Theft Auto: Vice City,Action-adventure,PS2,Rockstar Games,United States
2002,Kingdom Hearts,Action role-playing,PS2,Square,Japan
2002,The Legend of Zelda: The Wind Waker,Action-adventure,GameCube,Nintendo,Japan
2002,Metroid Prime,Action-adventure,GameCube,Nintendo,Japan
2002,Soulcalibur II,Fighting,Arcade,Namco,Japan
2002,Tom Clancy's Splinter Cell,Stealth,Xbox,Ubisoft,France
2002,Warcraft III: Reign of Chaos,Real-time strategy,"PC,Mac",Blizzard Entertainment,United States
2003,Beyond Good & Evil,Action-adventure,PS2,Ubisoft,France
2003,F-Zero GX,Racing,GameCube,Nintendo,Japan
2003,Max Payne 2: The Fall of Max Payne,Third-person shooter,PC,Rockstar Games,United States
